Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Якимчук,Ярослава,,Жінка,2004-06-16,Піаніст,село Бар,"площа Тираспольська, буд. 2 кв. 445, Боярка, 17761",+380 28 298-91-31,valentyna92@example.org
Носаченко,Юстина,,Жінка,1968-08-01,Конструктор,місто Мелітополь,"площа Покровський, буд. 132 кв. 90, Лебедин, 13988",395-37-92,aandriiovych@example.org
Адаменко,Михайлина,,Жінка,1974-06-15,Ґрунтознавець,місто Географія Вільнянська,"сквер Азербайджан, буд. 276 кв. 540, Немирів, 91231",+380 02 634-58-73,nadiia98@example.net
Артимович,Христина,,Жінка,1978-02-26,Конструктор,місто Белз,"сквер Капітана Гаврікова, буд. 69, Чуднів, 18334",+380 20 918-56-21,uvakarchuk@example.com
Фастенко,Олена,,Жінка,1970-08-11,Штукатур,село Надвірна,"вулиця Хлібна гавань, буд. 71 кв. 8, Амвросіївка, 52648",+380 29 692-15-23,cpetrenko@example.org
Щорс,Надія,,Жінка,2004-06-29,Електротехнік,хутір Ірпінь,"проспект Новикова, буд. 949, Камінь-Каширський, 71838",846 53 13,leopold16@example.org
Ящук,Алла,,Жінка,1964-11-03,Інженер,хутір Скадовськ,"провулок Картамишевська, буд. 63, Обухів, 69437",035 162-22-98,martynandreiko@example.org
Давиденко,Лілія,,Жінка,1989-04-18,Мовознавець,селище Виноградів,"проспект Інтернаціональний, буд. 1, Чорноморськ, 72926",045 794-02-77,abrahamovskyialbina@example.org
Гриценко,Софія,,Жінка,1957-06-26,Кінокритик,хутір Прилуки,"провулок Флотський 1-й, буд. 2, Білицьке, 10706",620-94-32,lartemenko@example.com
Канівець,Лілія,,Жінка,1948-10-12,Медик,селище Шпола,"парк Мостовий, буд. 237 кв. 465, Козятин, 12349",+380 (09) 907-65-64,smykiarema@example.org
Ляшко,Тереза,,Жінка,1982-04-13,Психолог,місто Вашківці,"площа Північна, буд. 484, Южне, 92806",514 27 01,rdzhun@example.org
Деревʼянко,Маруся,,Жінка,1986-12-06,Скульптор,місто Бурштин ,"провулок Садова 3-тя, буд. 6 кв. 06, Кремінна, 94363",+380 73 070 65 47,malykklavdiia@example.com
Христич,Юстина,,Жінка,1998-07-09,Біолог,місто Алушта,"сквер 8-ма Суворовська, буд. 518 кв. 658, Шостка, 72369",058 112-66-01,flutsenko@example.org
Забіла,Дарина,,Жінка,1989-09-25,Мірошник,місто Миронівка,"площа Каспійський, буд. 0 кв. 253, Белз, 81414",022 559-21-23,viktoriia49@example.org
Цимбал,Оксенія,,Жінка,1969-02-12,Дерун,хутір Немирів,"вулиця Сибірська, буд. 9 кв. 3, Тетіїв, 26064",+380 (29) 953-09-35,iermolenkodan@example.net
Носаченко,Христина,,Жінка,1972-07-26,Громадський діяч,село Вуглегірськ,"сквер Кибальчича, буд. 7, Алмазна, 37140",+380 39 926 18 14,ievaverhun@example.net
Чумаченко,Михайлина,,Жінка,1993-05-18,Електротехнік,місто Тетіїв,"набережна Гвоздичний, буд. 7, Верхньодніпровськ, 11949",+380 79 997-85-70,opanasneporozhnii@example.com
Колесниченко,Мілена,,Жінка,1959-01-04,Правник,місто Новий Калинів,"парк Туристський, буд. 128 кв. 39, Лиман , 80119",+380 84 307-26-08,liubovmykhailychenko@example.net
Стельмах,Єва,,Жінка,1952-02-16,Мінералог,місто Звенигородка,"сквер Адміральський, буд. 7 кв. 390, Рівне, 01001",565-56-04,lukashalla@example.org
Годунок,Лариса,,Жінка,1958-08-19,Бухгалтер,місто Курахове,"узвіз Капітана Кузнецова, буд. 0, Горлівка, 23595",138 66 70,hodunokbohdan@example.net
Жарко,Емілія,,Жінка,1985-11-03,Режисер,село Жмеринка,"сквер Тупиковий 1-й, буд. 55 кв. 825, Єнакієве, 95853",+380 84 917-04-58,ielyseilupii@example.net
Супруненко,Ірена,,Жінка,1952-08-04,Актор,селище Великі Мости,"проспект Листяний, буд. 68, Куп'янськ, 14032",568 43 93,avhustynkhomyk@example.com
Архимович,Оксана,,Жінка,1957-07-05,Патологоанатом,селище Біляївка,"набережна Десантний, буд. 94 кв. 28, Запоріжжя, 54127",017 527-19-83,symon07@example.org
Гаврилів,Василина,,Жінка,1994-07-14,Головний меркшейдер,селище Першотравенськ,"вулиця Десантний, буд. 05 кв. 44, Рава-Руська, 96437",919 33 63,tetianairvanets@example.org
Тарасенко,Златослава,,Жінка,1969-04-25,Круп'є,селище Ланівці,"площа 15-та ст. Великого Фонтану пляж, буд. 9, Ужгород, 27365",351-66-75,irenabandura@example.com
Лубенець,Камілла,,Жінка,1965-05-18,Бухгалтер,хутір Вуглегірськ,"набережна Пироговський, буд. 2, Щолкіне, 50420",034 084-50-61,okseniiaiakymenko@example.net
Карпа,Олена,,Жінка,1982-04-25,Соціолог,село Кремінна,"сквер Чорноморський 1-й, буд. 4, Бориспіль, 10370",056 474-93-16,shamraisviatoslav@example.net
Цимбалюк,Богданна,,Жінка,1953-08-15,Вчитель,хутір Миколаївка ,"сквер Ткачова, буд. 26, Гуляйполе, 59805",431-53-95,romanenkoodarka@example.com
Овчаренко,Лілія,,Жінка,1966-01-02,Етнограф,хутір Мирноград,"парк Мостовий, буд. 688 кв. 9, Тиврів, 41189",056 961 93 97,shtepatereza@example.org
Таран,Ада,,Жінка,1963-10-02,Гінеколог,селище Кіцмань,"парк Літературна, буд. 754, Костопіль, 28147",+380 47 372 93 64,volodymyraartiushenko@example.org
Слюсар,Єва,,Жінка,1996-11-02,Реабілітолог,село Українськ,"узвіз Богдана Хмельницького, буд. 28 кв. 159, Мерефа, 58629",+380 65 359 31 58,makohonamaliia@example.com
Зарудний,Марʼяна,,Жінка,1990-10-27,Літературознавець,село Корець,"сквер 8-ма Лінія Дачі Ковалевського, буд. 347 кв. 1, Керч, 68677",019 151-44-37,hvelychko@example.net
Ґереґа,Аніта,,Жінка,1997-09-05,Композитор,місто Сокаль,"парк 2-й Академічний тупик, буд. 0 кв. 8, Первомайський , 06753",593 70 64,albert19@example.net
Тимчук,Мілена,,Жінка,1950-03-03,Льотчик,село Ірміно,"шосе Льва Толстого, буд. 44, Залізне, 79404",+380 88 191 99 54,petrokomar@example.net
Онуфрієнко,Златослава,,Жінка,1966-03-11,Композитор,місто Селидове,"вулиця Ювілейний 1-й, буд. 2 кв. 921, Приморськ (Україна), 49188",201-91-86,hryhoriisachenko@example.org
Тарасенко,Лілія,,Жінка,1967-12-27,Ботанік,селище Кам'янське,"узвіз Радіальний, буд. 290, Дружківка, 91984",+380 27 284-08-52,avreliidanyliuk@example.com
Петрик,Маруся,,Жінка,2000-12-28,Економіст,селище Єнакієве,"парк Юннатів 3-й, буд. 817, Мерефа, 94951",419-79-32,anzhela72@example.com
Опанасенко,Тереза,,Жінка,2005-01-05,Кур'єр,село Мирноград,"сквер Першотравневий 3-й, буд. 546, Вугледар, 78121",+380 (17) 082-47-64,zlatoslavadrobiazko@example.net
Стець,Наталія,,Жінка,1951-12-06,Електромонтер,селище Марганець ,"провулок Нерубайська, буд. 228 кв. 065, Комарно, 61995",+380 (63) 435-11-33,spylypenko@example.net
Василашко,Лариса,,Жінка,1990-07-29,Будник,місто Волноваха,"шосе Новоселів, буд. 057, Заліщики, 27348",+380 85 517-64-75,ovcharenkoveniiamyn@example.net
Базилевський,Еріка,,Жінка,2004-04-07,Паралегал,хутір Південне ,"провулок Міхновського Миколи, буд. 0, Баштанка, 64934",367-55-06,azarbazylevych@example.com
Дубас,Розалія,,Жінка,1981-07-27,Стропальник,селище Корюківка,"набережна Соціальна, буд. 917 кв. 0, Коломия, 65595",+380 96 476-24-46,ivanbevz@example.org
Дубина,Анжела,,Жінка,1998-11-18,Актор,хутір Макіївка,"сквер Регенсбург, буд. 3 кв. 90, Гірник , 68038",+380 06 903-94-42,hryhorii50@example.com
Вакуленко,Одарка,,Жінка,1978-06-26,Будник,селище Чугуїв,"проспект Шкіперська, буд. 7 кв. 218, Богодухів, 69041",613-15-78,riabetsiaroslava@example.com
Ткаченко,Едита,,Жінка,1966-02-14,Дантист,селище Прип'ять ,"узвіз Пересипська 9-та, буд. 76 кв. 713, Глобине, 32332",+380 11 390-64-95,somkostanislav@example.com
Редько,Ірена,,Жінка,1986-05-24,Машиніст,хутір Боярка,"узвіз Грибоєдова, буд. 225, Липовець, 72570",+380 73 876-31-20,paverchenko@example.net
Бевз,Лариса,,Жінка,1994-04-09,Євнух,місто Федорівка,"сквер Шовкуненка, буд. 548, Олевськ, 29433",+380 33 541-94-95,preva@example.org
Дрозд,Ольга,,Жінка,1962-06-15,Євнух,селище Сновськ,"сквер Виноградна 3-тя, буд. 337 кв. 631, Берестечко, 89546",805-96-06,liubov96@example.org
Матяш,Єлисавета,,Жінка,2002-12-16,Дипломат,селище Хмільник,"узвіз Лавкова, буд. 7 кв. 25, Старокостянтинів, 99833",+380 35 251-08-37,priskaiukhymenko@example.net
Радченко,Марина,,Жінка,1958-12-14,Акушер,хутір Хуст,"сквер Монастирський, буд. 497, Берислав, 23037",+380 30 264 03 38,iaremalukash@example.net
Червоненко,Віра,,Жінка,1949-09-24,Геолог,місто Прип'ять ,"набережна Косяченка Олексія, буд. 5, Тячів, 06292",+380 08 955 26 23,illia33@example.net
Остапчук,Альбіна,,Жінка,1999-05-09,Епідеміолог,село Ямпіль,"узвіз Волниста, буд. 3, Баранівка, 45906",050 240-59-65,iaroslavlahoda@example.net
Дубас,Альбіна,,Жінка,1967-08-19,Гірничий інженер,село Решетилівка,"сквер Хвойний, буд. 58 кв. 3, Винники, 22892",+380 96 359-51-57,klymentmishchenko@example.net
Саченко,Єлисавета,,Жінка,2001-05-09,Астрофізик,місто Бурштин ,"набережна Радісна, буд. 6, Шепетівка, 79811",+380 78 307-27-29,anzhelashcherban@example.com
Гупало,Світлана,,Жінка,1996-09-28,Музичний редактор,хутір Виноградів,"сквер Єлісаветинська, буд. 388 кв. 677, Зугрес, 49653",+380 (90) 360-77-37,opanas74@example.com
Гузенко,Єва,,Жінка,1955-12-14,Правник,селище Монастирище,"парк Асташкіна, буд. 2 кв. 8, Вилкове, 41402",+380 (80) 333-72-98,ievadeineko@example.net
Микитюк,Христина,,Жінка,1991-06-23,Композитор,місто Роздільна,"парк Світанку, буд. 074, Коростишів, 33327",005 92 05,qzakusylo@example.org
Чуприна,Ада,,Жінка,1994-09-10,Державний службовець,місто Ізюм,"парк Удільний, буд. 9, Зимогір'я, 51802",695-92-93,iaroslav77@example.org
Шаповал,Ярослава,,Жінка,2001-02-05,Геофізик,хутір Ніжин,"шосе 1-й Академічний тупик, буд. 385 кв. 82, Вознесенськ, 91843",+380 45 459 18 54,rpoltavets@example.com
Рябець,Єва,,Жінка,1971-08-17,Графік,селище Кролевець,"сквер Траса Здоров'я, буд. 64, Вугледар, 15217",+380 52 000-27-04,vatamaniukanzhela@example.com
Гречаник,Камілла,,Жінка,2007-12-21,Кухар,селище Білицьке,"провулок Селекційний, буд. 4, Кременець, 28490",+380 (98) 477-86-12,iefrem84@example.org
Канівець,Ярослава,,Жінка,1994-01-15,Бібліотекар,місто Валки ,"парк Гастелло, буд. 67 кв. 75, Кобеляки, 66030",+380 81 111-83-54,hrechkonazar@example.net
Чаленко,Надія,,Жінка,1974-02-23,Історик,село Кременчук,"парк Самарська, буд. 9, Батурин, 69181",007 695 81 50,iashchenkoandrii@example.net
Бабʼюк,Соломія,,Жінка,2007-01-04,Мікробіолог,селище Ізюм,"парк Сталепрокатна, буд. 843, Хоростків, 76129",090 597-10-01,kieremenko@example.net
Лемешко,Василина,,Жінка,1998-12-09,Агроном,місто Сімферополь,"шосе 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 1, Українка , 66768",+380 62 487 37 13,marusiahaivoronskyi@example.org
Тимченко,Христина,,Жінка,1964-06-23,Пілот,хутір Армянськ,"узвіз Проценка, буд. 04 кв. 118, Мукачево, 09081",202 64 83,mykhailo35@example.net
Бебешко,Володимира,,Жінка,1949-04-13,Електрослюсар,селище Житомир,"провулок Одарія, буд. 4, Баранівка, 34767",+380 63 926 07 50,anzhela88@example.com
Медведенко,Варвара,,Жінка,1968-02-02,Електрик,селище Сімферополь,"площа Каштанова, буд. 788, Макіївка, 63454",020 747-62-22,smalyk@example.org
Скоробогатько,Світлана,,Жінка,1979-08-05,Підприємець,хутір Гребінка,"сквер Прокатна, буд. 751 кв. 232, Тисмениця, 45893",992 88 96,chornovilpanas@example.net
Гречко,Ліза,,Жінка,1988-12-08,Математик,місто Щастя ,"узвіз Велика Садова, буд. 948, Слов'янськ, 94400",553 81 63,nazar51@example.org
Бабариченко,Христина,,Жінка,1957-11-08,Електромонтажник,село Кадіївка,"узвіз Толбухіна, буд. 5 кв. 59, Городенка, 55763",142 37 61,frants31@example.net
Василевич,Надія,,Жінка,1985-10-19,Паблік рилейшнз,селище Жидачів,"провулок Авдєєва-Чорноморського, буд. 62, Золотоноша, 28276",231-89-37,artemiurchenko@example.com
Ільченко,Оксана,,Жінка,1960-02-03,Електромонтер,село Вовчанськ,"вулиця Тепличний 1-й, буд. 23 кв. 52, Радехів, 95518",+380 41 313-14-70,vernyhorahalyna@example.org
Архипенко,Олена,,Жінка,1970-10-01,Дантист,місто Павлоград,"парк Романтичний, буд. 249, Тисмениця, 24141",043-13-78,petrotalan@example.org
Пелех,Альбіна,,Жінка,1960-04-13,Парфюмер,селище Бобровиця,"шосе Мазараті, буд. 85 кв. 4, Лисичанськ, 75306",+380 11 793-90-68,riabetsrozaliia@example.net
Вдовиченко,Марта,,Жінка,1979-11-17,Водій,місто Старобільськ,"сквер Мазепи Івана, буд. 99, Луцьк, 21199",+380 (34) 419-71-39,iakivsachenko@example.org
Гаврюшенко,Орина,,Жінка,1996-10-08,Професор,село Донецьк,"узвіз Навігаційний, буд. 064, Нова Каховка, 15369",+380 45 748-24-09,udovychenkofrants@example.com
Закусило,Любов,,Жінка,1969-05-27,Сантехнік,селище Павлоград,"парк Чорноморський 3-й, буд. 014, Середина-Буда, 74360",+380 51 325 62 24,varvara17@example.org
Бабариченко,Дарина,,Жінка,1983-09-24,Швачка,селище Алушта,"узвіз Наявний 6-й, буд. 6, Одеса, 25368",151 16 37,rostyslavgereta@example.com
Жук,Дарина,,Жінка,1969-04-23,Музикант,село Рогатин,"провулок Лейтенанта Шмідта, буд. 69 кв. 5, Первомайськ, 75154",093 253 14 63,kozachenkoarkadii@example.org
Савенко,Марта,,Жінка,1977-01-02,Дипломат,хутір Марганець ,"провулок Макова, буд. 1 кв. 49, Богодухів, 97411",+380 57 438-11-62,khomenkofrants@example.net
Дзиндра,Сніжана,,Жінка,1982-05-01,Няня,село Сокаль,"шосе Обривиста, буд. 087 кв. 0, Червоноград, 13632",+380 (73) 851-77-10,ucharnysh@example.net
Зарудний,Марта,,Жінка,2004-05-30,Сантехнік,місто Білицьке,"проспект Новоселів, буд. 364, Джанкой, 41985",729-54-00,akaras@example.org
Яремків,Святослава,,Жінка,1989-10-28,Кушнір,хутір Новояворівськ,"узвіз Луценка Івана, буд. 8 кв. 6, Сокиряни, 25250",+380 50 661-10-73,ielyseiruban@example.net
Масляк,Ольга,,Жінка,1985-07-07,Намотувальник,село Збараж,"сквер Будівельний, буд. 108 кв. 849, Армянськ, 58421",694-74-59,mykhailo83@example.net
Рудик,Ліза,,Жінка,1953-03-08,Дизайнер,місто Ровеньки,"вулиця Ключовий 2-й, буд. 2, Голубівка, 76761",390-80-41,sviatoslava43@example.com
Ярош,Оксана,,Жінка,1966-03-25,Кінорежисер,село Жовті Води,"проспект Заводська 4-та, буд. 3 кв. 79, Олевськ, 32344",008 214 05 97,irenahavrysh@example.net
Штокало,Лариса,,Жінка,1952-09-25,Льотчик,село Ворожба,"вулиця Шампанський, буд. 196, Вознесенівка, 16347",312-30-10,shelesthlib@example.net
Лесик,Ліза,,Жінка,1968-08-14,Пілот,село Благовіщенське,"площа Дельфін, буд. 07, Богодухів, 50953",213 52 96,bvatamaniuk@example.net
Гаврилів,Емілія,,Жінка,2007-09-06,Композитор,село Бережани,"узвіз Амурський 4-й, буд. 272 кв. 428, Іллінці, 68650",020-26-77,adamenkovladyslav@example.com
Байрак,Тереза,,Жінка,2005-06-10,Шериф,село Кадіївка,"площа Кавунова, буд. 8, Вінниця, 27737",+380 07 654 78 21,iemelianenkolarysa@example.org
Валенко,Ліза,,Жінка,1967-01-02,Прокурор,село Ржищів,"проспект Скрипковий, буд. 22, Балта, 33523",+380 90 093-89-77,udovychenkotaras@example.net
Тесля,Віолетта,,Жінка,1963-02-17,Диригент,хутір Шпола,"сквер Колекційна, буд. 547, Волочиськ, 17507",+380 56 353-80-06,heorhii62@example.org
Титаренко,Єва,,Жінка,1996-11-12,Ветеринар,селище Бахмут,"узвіз Восьмого березня 9-й, буд. 645 кв. 81, Нова Каховка, 62553",316 85 37,wvasylenko@example.org
Прокопович,Анастасія,,Жінка,1958-06-27,Маркетолог,селище Краматорськ,"сквер Кренкеля, буд. 2 кв. 703, Добромиль, 74838",282-07-80,rozaliiakhmara@example.com
Лемешко,Софія,,Жінка,2003-09-06,Режисер,селище Полонне,"сквер Байкал тупик, буд. 26, Бобровиця, 28475",+380 54 485-45-87,jchuiko@example.com
Лупій,Орися,,Жінка,1986-01-29,Паралегал,село Пустомити,"узвіз Італійський, буд. 26, Добропілля, 16278",+380 38 975-76-07,avhustynshapoval@example.org
Алексюк,Ольга,,Жінка,1986-05-05,Письменник,селище Дніпро ,"шосе Маріїнська, буд. 5, Сватове, 24658",029 017 48 05,klavdiia65@example.org
Прокопович,Орина,,Жінка,1985-10-01,Прокурор,село Федорівка,"набережна Павлова, буд. 630, Яремче, 83780",+380 02 482 18 38,rovcharenko@example.org
Їжакевич,Тетяна,,Жінка,1991-04-27,Електромонтер,місто Новодружеськ,"шосе Давида Ойстраха, буд. 484 кв. 30, Татарбунари, 28387",670-66-30,maksym77@example.org
Орлик,Богданна,,Жінка,1965-06-06,Шериф,село Родинське,"площа Кифоренка Бориса, буд. 41, Помічна, 92216",+380 15 879-44-41,hsuprunenko@example.com
Вишняк,Єлисавета,,Жінка,1978-06-25,Кінорежисер,хутір Люботин,"узвіз Дністровська, буд. 724 кв. 03, Іловайськ, 70295",+380 (57) 661-00-76,dkhrystych@example.net
Парасюк,Богуслава,,Жінка,1989-01-31,Кінокритик,місто Тетіїв,"парк Аеропортівський 2-й, буд. 611 кв. 50, Золотоноша, 77065",567-10-02,mariiadavymuka@example.org
Баклан,Єва,,Жінка,2000-11-26,Астрофізик,селище Носівка,"парк Ростовська, буд. 1 кв. 9, Новодружеськ, 45442",+380 (69) 415-18-51,nfartushniak@example.org
Авдєєнко,Галина,,Жінка,1994-03-20,Дерун,хутір Новий Розділ,"парк Рачкова, буд. 5, Моспине, 15034",705-34-01,kozachenkoiryna@example.org
Вітрук,Ганна,,Жінка,1990-12-19,Ґрунтознавець,місто Перемишляни,"шосе Травневий, буд. 6, Березівка, 22183",+380 14 234-36-98,odarka26@example.com
Ящук,Камілла,,Жінка,1968-04-15,Золотар,селище Заліщики,"узвіз Івана Микитенка, буд. 24, Хмільник, 74004",048 807 34 75,trokhymvalenko@example.net
Данилюк,Наталія,,Жінка,1973-04-28,Патологоанатом,місто Дружба ,"проспект Тимірязєва 5-й, буд. 456 кв. 967, Ямпіль, 33838",859-07-16,qartym@example.com
Джунь,Ганна,,Жінка,1949-03-14,Шериф,село Бучач,"площа Кільцева, буд. 870 кв. 15, Бунге , 14802",+380 (78) 154-01-32,tymofiilemeshko@example.org
Ільченко,Пріска,,Жінка,2000-06-09,Бібліограф,селище Мирноград,"проспект Балтський 2-й, буд. 339, Верхньодніпровськ, 79327",422 31 80,ivanenkoborys@example.com
Гаврюшенко,Галина,,Жінка,1978-05-09,Астроном,село Новоград-Волинський,"шосе Восьмого Березня Лінія 1-ша, буд. 2, Новоазовськ, 42431",082 769-72-20,avhustynkashchenko@example.net
Єрченко,Христина,,Жінка,1951-07-10,Редактор,село Гуляйполе,"площа Лінійний, буд. 00 кв. 162, Чугуїв, 64749",+380 42 609-03-94,telizhenkostanislav@example.net
Бевзенко,Єва,,Жінка,2001-08-09,Фрілансер,село Генічеськ,"вулиця Любашівський, буд. 0, Яремче, 29914",+380 00 744-42-36,avhustynkylymnyk@example.org
Ященко,Маруся,,Жінка,1992-03-21,Промисловець,селище Ічня,"узвіз Флотський 1-й, буд. 42 кв. 1, Жовті Води, 47934",014 018 23 59,baidakklyment@example.com
Андрощук,Христина,,Жінка,1997-01-10,Гицель,селище Миргород,"набережна Сергія Ейзенштейна, буд. 7 кв. 4, Очаків, 08675",+380 (35) 000-69-41,kylymnyknataliia@example.org
Полтавець,Ганна,,Жінка,1951-12-11,Літературознавець,хутір Березне,"парк Рівності 2-й, буд. 53, Золотоноша, 19436",+380 62 071-84-87,idemianchuk@example.net
Іванченко,Альбіна,,Жінка,1982-08-16,Візажист,селище Рава-Руська,"сквер Злакова, буд. 2 кв. 309, Феодосія, 29177",052 545-50-46,iustyna63@example.com
Авдєєнко,Лариса,,Жінка,1991-09-06,Продюсер,місто Ужгород,"проспект Отамана Головатого, буд. 762 кв. 094, Нетішин, 96891",+380 (41) 585-16-81,sdarahan@example.org
Вакуленко,Софія,,Жінка,1952-01-28,Філолог,місто Інкерман,"площа Лінія 40-ва, буд. 2 кв. 3, Родинське, 98374",001 000 97 51,svitlana02@example.com
Ребрик,Сніжана,,Жінка,2003-07-27,Ріелтор,місто Сновськ,"провулок Виставочна, буд. 445 кв. 3, Прип'ять , 81024",084 588 08 28,panteleimonshvaika@example.com
Малик,Ярослава,,Жінка,2004-12-14,Менеджер,селище Ірпінь,"парк Супутників, буд. 479 кв. 88, Чернігів, 37598",+380 68 402 83 70,vasylechkopanteleimon@example.com
Ісаєнко,Емілія,,Жінка,1984-02-19,Хореограф,село Лисичанськ,"вулиця Єлісаветинська, буд. 767 кв. 56, Кременчук, 74986",060 871-77-40,babychvalentyna@example.net
Гузій,Емілія,,Жінка,1964-12-20,Живописець,місто Горохів,"вулиця Локомотивний 2-й, буд. 1 кв. 4, Тиврів, 08574",+380 03 980-71-82,marko71@example.com
Ященко,Сніжана,,Жінка,1956-03-24,Фармацевт,село Єнакієве,"сквер Наклонна, буд. 887, Світловодськ, 48316",+380 77 144 14 47,leontiikarmaliuk@example.net
Сомко,Роксолана,,Жінка,1972-11-28,Модель,село Баранівка,"набережна Ланжеронівський узвіз, буд. 5 кв. 81, Гола Пристань, 52026",+380 (85) 238-77-15,tpetryk@example.net
Василечко,Анастасія,,Жінка,2005-03-19,Промисловець,село Старокостянтинів,"проспект Госпітальний, буд. 62, Біляївка, 30015",864-59-25,artem26@example.com
Вакуленко,Едита,,Жінка,1960-07-25,Маркетолог,село Ківерці,"набережна Бузковий 2-й, буд. 25, Рені, 14646",+380 13 893-92-39,kabanenkohennadii@example.com
Засядько,Вікторія,,Жінка,1967-05-18,Ді-джей,місто Василівка ,"узвіз Академіка Корольова, буд. 566 кв. 3, Тетіїв, 41268",+380 97 152-10-26,havrylo84@example.net
Дергач,Мілена,,Жінка,2002-02-14,Бізнесмен,місто Любомль,"парк Каманіна, буд. 37 кв. 48, Нетішин, 32808",151 91 43,zinchukartem@example.com
Гайда,Марина,,Жінка,1956-12-24,Композитор,селище Вознесенівка,"парк Нахімова, буд. 804 кв. 1, Василівка , 69450",+380 (61) 057-76-98,kchaban@example.net
Алексюк,Єва,,Жінка,1978-09-18,Кушнір,селище Зіньків,"набережна Некрасова, буд. 916 кв. 6, Зміїв, 54900",+380 (86) 620-63-34,yhupalo@example.net
Скоробогатько,Єлисавета,,Жінка,1990-10-07,Юрист,село Старобільськ,"набережна Республіканська, буд. 9 кв. 805, Шахтарськ, 68990",739-69-57,ashelest@example.org
Бабійчук,Лілія,,Жінка,2002-04-30,Дерун,хутір Чоп,"сквер Офіцерський 1-й, буд. 700, Антрацит , 92707",427 20 24,ltsisyk@example.com
Семенченко,Ірена,,Жінка,1981-04-21,Соціолог,село Берегове,"провулок Серединський, буд. 041, Татарбунари, 03069",+380 05 028-81-04,zaietsvalerii@example.net
Лагода,Єлисавета,,Жінка,2005-09-09,Мінералог,село Оріхів,"шосе Абрикосовий, буд. 34 кв. 165, Золочів, 58587",+380 70 029-71-48,taras79@example.com
Іванченко,Надія,,Жінка,1963-10-16,Режисер,село Корюківка,"провулок Державіна, буд. 26, Городня, 75779",+380 92 798 58 82,mykyta94@example.com
Ковалюк,Альбіна,,Жінка,1956-11-09,Намотувальник,селище Корсунь-Шевченківський,"провулок Єврейська, буд. 11, Біла Церква, 33647",+380 68 610-72-62,tkhrystych@example.net
Гупало,Мілена,,Жінка,2008-07-11,Машиніст,селище Великі Мости,"площа Басейний 6-й, буд. 16, Ходорів, 13723",645 52 26,marusia66@example.org
Артимович,Надія,,Жінка,1966-12-03,Правник,хутір Ялта,"вулиця Колекційна, буд. 6, Білогірськ, 97793",088 928 18 19,liashkovira@example.org
Воблий,Ганна,,Жінка,1970-07-24,Намотувальник,місто Бібрка,"сквер Мельницька, буд. 5 кв. 572, Антрацит , 67900",937 57 21,bohdanaleksiichuk@example.net
Воблий,Лілія,,Жінка,1959-11-01,Паблік рилейшнз,селище Городенка,"шосе Юхима Фесенка, буд. 753, Соледар, 70401",+380 63 091-80-34,nhaivoronskyi@example.com
Чуйко,Любов,,Жінка,1962-12-05,Живописець,селище Бар,"парк Щіпний, буд. 492, Болград, 34921",+380 54 701-66-27,skolodub@example.net
Чуприна,Аліна,,Жінка,1959-03-20,Євнух,хутір Чуднів,"вулиця Леваневського, буд. 8 кв. 97, Часів Яр, 17206",022 610-93-80,danylchukieva@example.org
Гузій,Галина,,Жінка,1969-10-01,Композитор,село Городок,"парк Берегова, буд. 6 кв. 55, Зимогір'я, 45644",085 68 68,frantsmykhailiuk@example.net
Медведенко,Маруся,,Жінка,1962-12-18,Громадський діяч,селище Кодима,"набережна Китобійна, буд. 8 кв. 75, Бучач, 33088",+380 89 495-26-67,roksolana07@example.net
Данилюк,Віолетта,,Жінка,1953-03-23,Вчитель,місто Олешки,"шосе Сєрогодського, буд. 28, Хрустальний, 73311",031 840-96-49,fkhrystych@example.org
Голобородько,Аніта,,Жінка,1976-12-22,Біолог,село Покров,"парк Аркаса Миколи, буд. 225 кв. 18, Полонне, 54940",+380 (78) 831-54-83,okhrymovychfeofan@example.org
Василевич,Анжела,,Жінка,1992-09-10,Клавішник,хутір Коломия,"парк Новощіпний ряд, буд. 3 кв. 833, Хрустальний, 55340",479 97 00,makar62@example.net
Палій,Данна,,Жінка,1992-03-29,Науковець,село Молодогвардійськ,"сквер Прохоровський, буд. 962, Корсунь-Шевченківський, 51971",034 461-87-47,boleslavkybkalo@example.net
Чуйко,Валентина,,Жінка,1994-10-07,Єгер,село Білопілля,"набережна Лідерсівський, буд. 97 кв. 5, Керч, 39009",023 900 26 75,shvachkaievhen@example.org
Кальченко,Сніжана,,Жінка,1978-02-28,Секретар,село Пологи ,"набережна Шишкіна 3-й, буд. 16 кв. 8, Вінниця, 16765",+380 (42) 847-76-11,ctokar@example.org
Андрейко,Орина,,Жінка,1959-06-09,Художник,село Трускавець,"сквер Марсельська, буд. 56 кв. 367, Глухів, 09195",023 916-38-07,sviatoslav69@example.net
Гавриш,Василина,,Жінка,1975-10-19,Кінорежисер,село Южне,"узвіз Бірюкова, буд. 21 кв. 2, Жашків, 66261",063 610 83 62,violetta88@example.org
Шамрай,Едита,,Жінка,1953-11-13,Будник,місто Привілля,"провулок Анни Ахматової, буд. 3 кв. 95, Красноград, 53811",+380 23 228-84-87,symon99@example.com
Жадан,Василина,,Жінка,2002-11-21,Електротехнік,село Карлівка,"шосе Лінія 28-ма, буд. 693 кв. 098, Дубно, 19667",001 464 24 74,iarema18@example.net
